Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
22-12-2023, 12, 0, 33.00, 35.10, 29.81
22-12-2023, 12, 1, 33.40, 34.10, 29.38
22-12-2023, 12, 2, 32.80, 34.00, 29.19
22-12-2023, 12, 3, 32.60, 34.40, 29.50
22-12-2023, 12, 4, 32.90, 34.60, 29.75
22-12-2023, 12, 6, 33.00, 35.30, 29.69
22-12-2023, 12, 7, 33.40, 35.00, 29.94
22-12-2023, 12, 8, 33.40, 34.50, 30.31
22-12-2023, 12, 9, 34.00, 34.70, 30.81
22-12-2023, 12, 10, 34.40, 34.30, 30.69
22-12-2023, 12, 11, 34.60, 33.80, 30.44
22-12-2023, 12, 12, 34.40, 33.80, 30.25
22-12-2023, 12, 13, 34.00, 33.20, 30.25
22-12-2023, 12, 14, 33.60, 33.40, 30.50
22-12-2023, 12, 15, 34.00, 32.30, 30.75
22-12-2023, 12, 16, 34.70, 32.50, 31.38
22-12-2023, 12, 18, 35.40, 32.00, 32.13
22-12-2023, 12, 19, 36.30, 31.70, 32.25
22-12-2023, 12, 20, 36.80, 30.70, 32.19
22-12-2023, 12, 21, 37.00, 29.80, 31.81
22-12-2023, 12, 22, 37.00, 30.00, 32.19
22-12-2023, 12, 23, 37.30, 29.70, 32.06
22-12-2023, 12, 24, 37.20, 29.80, 31.31
22-12-2023, 12, 25, 37.00, 29.70, 31.19
22-12-2023, 12, 26, 36.20, 30.60, 31.50
22-12-2023, 12, 27, 36.60, 30.90, 31.31
22-12-2023, 12, 28, 36.40, 30.20, 31.44
22-12-2023, 12, 30, 36.40, 30.10, 30.06
22-12-2023, 12, 31, 35.70, 30.30, 29.50
22-12-2023, 12, 32, 35.10, 31.50, 29.75
22-12-2023, 12, 33, 34.80, 31.60, 30.00
22-12-2023, 12, 34, 35.10, 31.80, 30.25
22-12-2023, 12, 35, 35.20, 31.40, 30.13
22-12-2023, 12, 36, 34.70, 31.10, 30.38
22-12-2023, 12, 37, 34.80, 31.70, 30.25
22-12-2023, 12, 38, 34.90, 31.30, 30.44
22-12-2023, 12, 39, 34.70, 31.40, 30.56
22-12-2023, 12, 40, 34.90, 30.00, 30.63
22-12-2023, 12, 42, 34.90, 30.50, 30.75
22-12-2023, 12, 43, 34.60, 30.90, 30.69
22-12-2023, 12, 44, 34.60, 31.20, 30.69
22-12-2023, 12, 45, 34.60, 31.60, 30.88
22-12-2023, 12, 46, 34.70, 30.80, 30.63
22-12-2023, 12, 47, 34.50, 30.90, 30.56
22-12-2023, 12, 48, 34.90, 31.00, 30.63
22-12-2023, 12, 49, 34.90, 30.70, 30.44
22-12-2023, 12, 50, 34.90, 30.50, 30.88
22-12-2023, 12, 51, 35.20, 30.70, 30.88
22-12-2023, 12, 53, 35.40, 30.30, 30.63
22-12-2023, 12, 54, 35.60, 30.40, 30.19
22-12-2023, 12, 55, 35.20, 30.30, 30.00
22-12-2023, 12, 56, 35.00, 30.90, 30.13
22-12-2023, 12, 57, 34.70, 31.10, 30.25
22-12-2023, 12, 58, 34.60, 31.40, 29.50
22-12-2023, 12, 59, 34.10, 31.60, 29.00
