Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
21-12-2023, 18, 0, 16.20, 64.90, 16.50
21-12-2023, 18, 1, 16.00, 64.90, 16.50
21-12-2023, 18, 2, 16.00, 65.00, 16.50
21-12-2023, 18, 3, 16.10, 65.10, 16.44
21-12-2023, 18, 4, 16.00, 65.10, 16.38
21-12-2023, 18, 5, 16.10, 65.10, 16.38
21-12-2023, 18, 6, 16.00, 66.00, 16.38
21-12-2023, 18, 7, 15.90, 66.20, 16.31
21-12-2023, 18, 9, 16.00, 65.60, 16.25
21-12-2023, 18, 10, 16.00, 65.70, 16.25
21-12-2023, 18, 11, 15.90, 65.40, 16.25
21-12-2023, 18, 12, 15.80, 66.00, 16.19
21-12-2023, 18, 13, 15.90, 65.80, 16.19
21-12-2023, 18, 14, 15.90, 66.00, 16.13
21-12-2023, 18, 15, 15.80, 66.00, 16.06
21-12-2023, 18, 16, 15.70, 65.90, 16.06
21-12-2023, 18, 17, 15.70, 66.00, 16.00
21-12-2023, 18, 18, 15.60, 66.30, 16.00
21-12-2023, 18, 20, 15.60, 66.40, 16.00
21-12-2023, 18, 21, 15.50, 66.50, 15.94
21-12-2023, 18, 22, 15.40, 66.90, 15.88
21-12-2023, 18, 23, 15.40, 66.90, 15.88
21-12-2023, 18, 24, 15.30, 67.00, 15.88
21-12-2023, 18, 25, 15.30, 67.30, 15.94
