Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
21-12-2023, 9, 46, 19.00, 67.60, 18.56
Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
21-12-2023, 9, 46, 18.90, 69.20, 18.38
21-12-2023, 9, 56, 18.90, 68.40, 17.81
