Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
17-1-2024, 23, 3, 11.50, 79.40, 9.69
17-1-2024, 23, 7, 11.30, 79.70, 9.63
17-1-2024, 23, 11, 11.40, 79.60, 9.69
17-1-2024, 23, 15, 11.40, 79.60, 9.63
17-1-2024, 23, 19, 11.40, 79.90, 9.56
17-1-2024, 23, 23, 11.40, 80.30, 9.63
17-1-2024, 23, 27, 11.50, 79.70, 9.56
17-1-2024, 23, 31, 11.30, 81.40, 9.56
17-1-2024, 23, 36, 11.30, 81.20, 9.56
17-1-2024, 23, 40, 11.30, 81.40, 9.56
17-1-2024, 23, 44, 11.20, 82.50, 9.69
17-1-2024, 23, 48, 11.20, 82.30, 9.44
17-1-2024, 23, 52, 11.00, 83.50, 9.44
17-1-2024, 23, 56, 11.00, 83.50, 9.38
