Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 2, 1, 10.20, 86.20, 8.63
18-1-2024, 2, 6, 10.20, 85.80, 8.63
18-1-2024, 2, 10, 10.20, 85.80, 8.69
18-1-2024, 2, 14, 10.10, 86.40, 8.69
18-1-2024, 2, 18, 10.10, 86.50, 8.56
18-1-2024, 2, 22, 10.20, 85.90, 8.69
18-1-2024, 2, 26, 10.30, 85.30, 8.63
18-1-2024, 2, 30, 10.30, 85.50, 8.63
18-1-2024, 2, 34, 10.30, 85.10, 8.69
18-1-2024, 2, 38, 10.40, 84.90, 8.75
18-1-2024, 2, 42, 10.50, 85.20, 8.75
18-1-2024, 2, 46, 10.40, 84.90, 8.69
18-1-2024, 2, 50, 10.50, 85.40, 8.75
18-1-2024, 2, 54, 10.40, 85.60, 8.75
18-1-2024, 2, 58, 10.40, 85.60, 8.69
