Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 3, 2, 10.20, 86.60, 8.75
18-1-2024, 3, 6, 10.20, 86.30, 8.69
18-1-2024, 3, 10, 10.30, 86.00, 8.63
18-1-2024, 3, 14, 10.30, 86.00, 8.56
18-1-2024, 3, 18, 10.20, 86.10, 8.56
18-1-2024, 3, 22, 10.10, 86.70, 8.56
18-1-2024, 3, 27, 10.10, 86.90, 8.56
18-1-2024, 3, 31, 10.00, 87.70, 8.56
18-1-2024, 3, 35, 10.00, 87.30, 8.50
18-1-2024, 3, 39, 10.00, 87.30, 8.50
18-1-2024, 3, 43, 10.10, 86.60, 8.56
18-1-2024, 3, 47, 10.20, 86.20, 8.63
18-1-2024, 3, 51, 10.20, 86.20, 8.63
18-1-2024, 3, 55, 10.30, 85.60, 8.63
18-1-2024, 3, 59, 10.30, 85.60, 8.56
