Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
19-1-2024, 4, 2, 10.40, 88.60, 9.00
19-1-2024, 4, 6, 10.40, 88.60, 9.00
19-1-2024, 4, 10, 10.30, 89.80, 8.94
19-1-2024, 4, 14, 10.20, 89.50, 9.00
19-1-2024, 4, 18, 10.40, 88.60, 8.94
19-1-2024, 4, 22, 10.30, 89.00, 8.94
19-1-2024, 4, 26, 10.30, 89.10, 8.94
19-1-2024, 4, 30, 10.20, 89.10, 9.00
19-1-2024, 4, 34, 10.40, 89.30, 8.94
19-1-2024, 4, 38, 10.40, 88.90, 8.94
19-1-2024, 4, 42, 10.40, 88.80, 9.00
19-1-2024, 4, 46, 10.40, 88.70, 9.00
19-1-2024, 4, 50, 10.40, 88.60, 8.88
19-1-2024, 4, 54, 10.40, 88.90, 8.94
19-1-2024, 4, 58, 10.30, 89.00, 9.00
