Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 7, 1, 10.40, 83.10, 8.44
18-1-2024, 7, 5, 10.40, 83.40, 8.44
18-1-2024, 7, 9, 10.30, 83.20, 8.50
18-1-2024, 7, 13, 10.30, 83.30, 8.44
18-1-2024, 7, 18, 10.30, 83.70, 8.38
18-1-2024, 7, 22, 10.30, 83.60, 8.38
18-1-2024, 7, 26, 10.10, 84.10, 8.31
18-1-2024, 7, 30, 10.10, 84.00, 8.31
18-1-2024, 7, 34, 10.10, 84.00, 8.31
18-1-2024, 7, 38, 10.10, 83.80, 8.31
18-1-2024, 7, 42, 10.10, 83.70, 8.31
18-1-2024, 7, 46, 10.10, 83.40, 8.38
18-1-2024, 7, 50, 10.10, 83.70, 8.31
18-1-2024, 7, 54, 10.10, 83.70, 8.31
18-1-2024, 7, 58, 10.10, 83.70, 8.25
