Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 13, 2, 17.70, 62.30, 15.94
18-1-2024, 13, 6, 17.60, 63.80, 16.19
18-1-2024, 13, 10, 17.80, 64.70, 16.38
18-1-2024, 13, 14, 18.10, 61.90, 16.44
18-1-2024, 13, 18, 18.30, 61.80, 16.44
18-1-2024, 13, 22, 18.30, 59.50, 16.31
18-1-2024, 13, 26, 18.00, 60.10, 16.50
18-1-2024, 13, 30, 18.30, 60.30, 16.81
18-1-2024, 13, 34, 18.70, 60.70, 17.00
18-1-2024, 13, 38, 18.90, 58.80, 17.13
18-1-2024, 13, 42, 19.10, 59.40, 17.38
18-1-2024, 13, 47, 19.40, 57.20, 17.56
18-1-2024, 13, 51, 19.70, 57.60, 17.63
18-1-2024, 13, 55, 19.80, 56.30, 17.63
18-1-2024, 13, 59, 19.80, 56.00, 17.69
