Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
19-1-2024, 5, 2, 10.40, 88.60, 8.94
19-1-2024, 5, 7, 10.40, 88.60, 8.94
19-1-2024, 5, 11, 10.40, 88.50, 8.94
19-1-2024, 5, 15, 10.40, 88.50, 8.81
19-1-2024, 5, 19, 10.30, 89.20, 8.88
19-1-2024, 5, 23, 10.10, 89.60, 8.88
19-1-2024, 5, 27, 10.20, 89.10, 8.88
19-1-2024, 5, 31, 10.30, 88.90, 8.88
19-1-2024, 5, 35, 10.20, 89.00, 8.88
19-1-2024, 5, 39, 10.20, 89.10, 8.88
19-1-2024, 5, 43, 10.20, 88.70, 8.81
19-1-2024, 5, 47, 10.20, 88.80, 8.69
19-1-2024, 5, 51, 10.10, 88.80, 8.69
19-1-2024, 5, 55, 10.10, 88.80, 8.63
19-1-2024, 5, 59, 10.00, 89.00, 8.63
