Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
1-1-2000, 4, 0, 16.70, 66.50, 16.50
1-1-2000, 4, 2, 16.60, 66.70, 16.50
1-1-2000, 4, 3, 16.60, 67.10, 16.56
1-1-2000, 4, 4, 16.70, 66.60, 16.44
1-1-2000, 4, 5, 16.60, 66.80, 16.38
1-1-2000, 4, 6, 16.60, 66.80, 16.50
1-1-2000, 4, 7, 16.60, 66.10, 16.44
1-1-2000, 4, 8, 16.50, 66.10, 16.38
1-1-2000, 4, 9, 16.50, 66.10, 16.31
1-1-2000, 4, 10, 16.40, 66.10, 16.19
1-1-2000, 4, 11, 16.50, 66.40, 16.19
1-1-2000, 4, 12, 16.40, 66.50, 16.13
1-1-2000, 4, 14, 16.30, 66.90, 16.06
1-1-2000, 4, 15, 16.30, 67.50, 16.00
1-1-2000, 4, 16, 16.20, 67.70, 16.06
1-1-2000, 4, 17, 16.10, 67.90, 16.00
1-1-2000, 4, 18, 16.20, 67.30, 16.06
1-1-2000, 4, 19, 16.20, 66.80, 15.94
1-1-2000, 4, 20, 16.10, 67.20, 15.94
1-1-2000, 4, 21, 16.10, 67.90, 15.81
1-1-2000, 4, 22, 16.00, 68.20, 15.81
1-1-2000, 4, 23, 16.00, 67.90, 15.81
1-1-2000, 4, 24, 16.00, 68.00, 15.94
1-1-2000, 4, 26, 16.00, 67.30, 15.88
1-1-2000, 4, 27, 16.10, 67.50, 15.94
1-1-2000, 4, 28, 16.00, 67.30, 15.81
1-1-2000, 4, 29, 16.00, 67.70, 15.69
1-1-2000, 4, 30, 16.00, 67.70, 15.75
1-1-2000, 4, 31, 15.90, 67.60, 15.69
1-1-2000, 4, 32, 15.90, 67.70, 15.75
1-1-2000, 4, 33, 15.90, 68.00, 15.69
1-1-2000, 4, 34, 16.00, 67.70, 15.63
1-1-2000, 4, 35, 15.80, 68.40, 15.63
1-1-2000, 4, 37, 15.80, 69.00, 15.56
1-1-2000, 4, 38, 15.80, 68.60, 15.63
1-1-2000, 4, 39, 15.80, 68.40, 15.56
1-1-2000, 4, 40, 15.80, 68.10, 15.56
1-1-2000, 4, 41, 15.60, 68.30, 15.63
1-1-2000, 4, 42, 15.60, 68.40, 15.50
1-1-2000, 4, 43, 15.60, 68.30, 15.44
1-1-2000, 4, 44, 15.60, 68.40, 15.38
1-1-2000, 4, 45, 15.50, 68.70, 15.19
1-1-2000, 4, 46, 15.60, 68.50, 15.25
1-1-2000, 4, 47, 15.50, 68.90, 15.25
1-1-2000, 4, 49, 15.50, 68.90, 15.19
1-1-2000, 4, 50, 15.40, 69.10, 15.06
1-1-2000, 4, 51, 15.30, 69.10, 15.06
1-1-2000, 4, 52, 15.20, 69.50, 15.06
1-1-2000, 4, 53, 15.30, 69.80, 14.88
1-1-2000, 4, 54, 15.20, 69.50, 15.00
