Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 11, 0, 12.40, 81.70, 11.00
18-1-2024, 11, 5, 12.60, 80.90, 11.19
18-1-2024, 11, 9, 12.90, 80.80, 11.50
18-1-2024, 11, 13, 13.20, 80.30, 11.63
18-1-2024, 11, 17, 13.40, 79.20, 11.81
18-1-2024, 11, 21, 13.50, 78.70, 11.88
18-1-2024, 11, 25, 13.50, 79.00, 12.06
18-1-2024, 11, 29, 13.70, 77.70, 12.38
18-1-2024, 11, 33, 13.90, 78.20, 12.63
18-1-2024, 11, 37, 14.20, 78.20, 12.75
18-1-2024, 11, 41, 14.40, 77.20, 13.13
18-1-2024, 11, 45, 14.70, 76.00, 13.19
18-1-2024, 11, 49, 14.80, 75.70, 13.31
18-1-2024, 11, 53, 15.00, 73.90, 13.31
18-1-2024, 11, 57, 14.90, 73.40, 13.50
