Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 9, 3, 10.50, 83.20, 8.69
18-1-2024, 9, 7, 10.60, 84.10, 8.75
18-1-2024, 9, 11, 10.60, 83.60, 8.75
18-1-2024, 9, 15, 10.50, 84.20, 8.81
18-1-2024, 9, 19, 10.50, 84.10, 8.81
18-1-2024, 9, 23, 10.70, 83.50, 8.88
18-1-2024, 9, 27, 10.80, 83.00, 9.56
18-1-2024, 9, 31, 11.20, 85.40, 9.75
18-1-2024, 9, 35, 11.10, 84.00, 9.56
18-1-2024, 9, 39, 10.90, 84.30, 9.50
18-1-2024, 9, 43, 11.00, 84.20, 9.44
18-1-2024, 9, 47, 10.90, 84.60, 9.38
18-1-2024, 9, 51, 10.90, 85.00, 9.38
18-1-2024, 9, 56, 10.90, 84.40, 9.31
