Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
19-1-2024, 19, 1, 18.00, 67.10, 16.56
19-1-2024, 19, 6, 17.90, 67.10, 16.56
19-1-2024, 19, 10, 17.90, 67.10, 16.50
19-1-2024, 19, 14, 17.90, 67.00, 16.44
19-1-2024, 19, 18, 17.80, 67.00, 16.44
19-1-2024, 19, 22, 17.80, 67.00, 16.31
19-1-2024, 19, 26, 17.70, 67.20, 16.31
19-1-2024, 19, 30, 17.70, 67.30, 16.25
19-1-2024, 19, 34, 17.70, 67.30, 16.25
19-1-2024, 19, 38, 17.70, 67.30, 16.25
19-1-2024, 19, 42, 17.60, 67.20, 16.19
19-1-2024, 19, 46, 17.60, 67.20, 16.19
19-1-2024, 19, 50, 17.60, 67.30, 16.13
19-1-2024, 19, 54, 17.50, 67.30, 16.13
19-1-2024, 19, 58, 17.60, 67.50, 16.13
