Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
19-1-2024, 7, 0, 9.70, 90.50, 8.44
19-1-2024, 7, 4, 9.70, 90.40, 8.44
19-1-2024, 7, 8, 9.70, 90.30, 8.44
19-1-2024, 7, 12, 9.70, 90.20, 8.44
19-1-2024, 7, 16, 9.70, 90.30, 8.38
19-1-2024, 7, 20, 9.60, 90.50, 8.31
19-1-2024, 7, 24, 9.60, 90.60, 8.38
19-1-2024, 7, 28, 9.60, 90.50, 8.38
19-1-2024, 7, 32, 9.70, 90.40, 8.38
19-1-2024, 7, 36, 9.70, 90.30, 8.44
19-1-2024, 7, 41, 9.70, 90.30, 8.38
19-1-2024, 7, 45, 9.70, 90.40, 8.44
19-1-2024, 7, 49, 9.70, 90.40, 8.44
19-1-2024, 7, 53, 9.80, 90.30, 8.44
19-1-2024, 7, 57, 9.80, 90.10, 8.44
