Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 14, 3, 19.80, 56.20, 17.75
18-1-2024, 14, 7, 19.90, 54.40, 17.81
18-1-2024, 14, 11, 19.90, 56.80, 17.88
18-1-2024, 14, 15, 19.80, 56.00, 17.81
18-1-2024, 14, 19, 19.80, 55.90, 17.81
18-1-2024, 14, 23, 19.70, 55.80, 17.63
18-1-2024, 14, 27, 19.40, 56.30, 17.63
18-1-2024, 14, 31, 19.30, 56.80, 17.69
18-1-2024, 14, 35, 19.40, 57.40, 17.63
18-1-2024, 14, 39, 19.40, 56.40, 17.50
18-1-2024, 14, 43, 19.10, 56.90, 17.44
18-1-2024, 14, 47, 19.00, 57.70, 17.25
18-1-2024, 14, 51, 18.90, 57.30, 17.19
18-1-2024, 14, 55, 18.60, 57.90, 17.19
18-1-2024, 14, 59, 18.70, 58.00, 17.13
