Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
18-1-2024, 18, 2, 14.50, 71.80, 13.06
18-1-2024, 18, 6, 14.40, 71.50, 12.88
18-1-2024, 18, 10, 14.20, 72.80, 12.75
18-1-2024, 18, 14, 14.10, 73.20, 12.63
18-1-2024, 18, 18, 13.90, 73.60, 12.50
18-1-2024, 18, 22, 13.80, 74.40, 12.44
18-1-2024, 18, 26, 13.70, 74.80, 12.38
18-1-2024, 18, 30, 13.60, 75.50, 12.25
18-1-2024, 18, 34, 13.40, 75.40, 12.13
18-1-2024, 18, 38, 13.40, 75.10, 11.94
18-1-2024, 18, 42, 13.30, 75.90, 11.94
18-1-2024, 18, 46, 13.10, 76.60, 11.81
18-1-2024, 18, 50, 13.10, 76.70, 11.69
18-1-2024, 18, 55, 13.00, 77.10, 11.63
18-1-2024, 18, 59, 12.80, 77.90, 11.44
