Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
22-12-2023, 9, 0, 18.10, 63.80, 12.25
22-12-2023, 9, 1, 18.30, 64.30, 12.25
22-12-2023, 9, 2, 18.30, 63.50, 12.25
22-12-2023, 9, 3, 18.40, 62.90, 12.25
22-12-2023, 9, 5, 18.70, 63.70, 12.38
22-12-2023, 9, 6, 19.10, 61.90, 12.31
22-12-2023, 9, 7, 19.30, 60.80, 12.44
22-12-2023, 9, 8, 19.40, 59.70, 12.50
22-12-2023, 9, 9, 19.60, 60.90, 12.56
22-12-2023, 9, 10, 19.80, 59.50, 12.56
22-12-2023, 9, 11, 20.10, 59.00, 12.56
22-12-2023, 9, 12, 20.30, 58.10, 12.63
22-12-2023, 9, 13, 20.60, 58.80, 12.69
22-12-2023, 9, 14, 20.60, 56.40, 12.81
22-12-2023, 9, 16, 21.00, 56.80, 12.81
22-12-2023, 9, 17, 21.00, 55.50, 12.94
22-12-2023, 9, 18, 21.20, 56.30, 12.94
22-12-2023, 9, 19, 21.60, 56.10, 13.06
22-12-2023, 9, 20, 21.80, 54.40, 13.13
22-12-2023, 9, 21, 21.80, 54.40, 13.19
22-12-2023, 9, 22, 21.80, 54.60, 13.25
22-12-2023, 9, 23, 22.00, 54.00, 13.38
22-12-2023, 9, 24, 22.30, 54.20, 13.44
22-12-2023, 9, 25, 22.60, 53.70, 13.50
22-12-2023, 9, 27, 22.80, 53.10, 13.56
22-12-2023, 9, 28, 23.00, 52.10, 13.56
22-12-2023, 9, 29, 23.00, 51.90, 13.56
22-12-2023, 9, 30, 23.30, 51.70, 13.63
22-12-2023, 9, 31, 23.20, 51.10, 13.63
22-12-2023, 9, 32, 23.00, 52.00, 13.69
22-12-2023, 9, 33, 23.10, 51.60, 13.81
22-12-2023, 9, 34, 23.40, 51.20, 13.81
22-12-2023, 9, 35, 23.90, 51.90, 13.88
22-12-2023, 9, 36, 24.30, 50.10, 13.88
22-12-2023, 9, 37, 24.60, 48.60, 13.81
22-12-2023, 9, 39, 24.60, 48.10, 13.94
22-12-2023, 9, 40, 24.90, 48.90, 14.00
22-12-2023, 9, 41, 24.80, 47.80, 14.06
22-12-2023, 9, 42, 24.60, 48.10, 14.00
22-12-2023, 9, 43, 24.40, 48.20, 14.00
22-12-2023, 9, 44, 24.30, 49.10, 14.13
22-12-2023, 9, 45, 24.20, 49.00, 14.13
22-12-2023, 9, 46, 24.40, 48.10, 14.13
22-12-2023, 9, 47, 24.40, 48.80, 14.25
22-12-2023, 9, 48, 23.90, 48.30, 14.19
22-12-2023, 9, 50, 23.40, 50.00, 14.31
22-12-2023, 9, 51, 23.10, 51.30, 14.38
22-12-2023, 9, 52, 22.90, 50.90, 14.38
22-12-2023, 9, 53, 22.50, 51.80, 14.38
22-12-2023, 9, 54, 21.90, 52.50, 14.44
22-12-2023, 9, 55, 21.40, 54.00, 14.50
22-12-2023, 9, 56, 21.60, 54.20, 14.50
22-12-2023, 9, 57, 21.40, 53.90, 14.56
22-12-2023, 9, 58, 21.40, 54.40, 14.63
22-12-2023, 9, 59, 21.40, 55.50, 14.69
