Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
22-12-2023, 12, 0, 31.70, 33.20, 25.69
22-12-2023, 12, 1, 31.90, 32.70, 25.75
22-12-2023, 12, 3, 31.50, 32.70, 25.94
22-12-2023, 12, 4, 31.40, 33.00, 26.00
22-12-2023, 12, 5, 31.50, 32.90, 26.13
22-12-2023, 12, 6, 31.90, 33.30, 26.38
22-12-2023, 12, 7, 31.90, 33.60, 26.38
22-12-2023, 12, 8, 32.30, 33.10, 26.31
22-12-2023, 12, 9, 32.50, 33.00, 26.94
22-12-2023, 12, 10, 33.40, 32.70, 26.75
22-12-2023, 12, 11, 33.40, 31.90, 26.88
22-12-2023, 12, 12, 33.10, 31.20, 26.94
22-12-2023, 12, 14, 33.00, 31.20, 27.06
22-12-2023, 12, 15, 33.20, 30.90, 26.94
22-12-2023, 12, 16, 33.20, 31.30, 27.31
22-12-2023, 12, 17, 33.90, 30.70, 27.63
22-12-2023, 12, 18, 34.50, 30.50, 27.94
22-12-2023, 12, 19, 35.30, 30.00, 27.88
22-12-2023, 12, 20, 35.20, 30.00, 27.94
22-12-2023, 12, 21, 35.30, 29.80, 27.81
22-12-2023, 12, 22, 35.30, 29.90, 27.69
22-12-2023, 12, 23, 35.10, 29.80, 27.63
22-12-2023, 12, 24, 35.50, 29.90, 26.75
22-12-2023, 12, 26, 34.60, 29.60, 27.19
22-12-2023, 12, 27, 34.90, 30.40, 27.13
22-12-2023, 12, 28, 35.20, 29.90, 27.06
22-12-2023, 12, 29, 35.00, 29.80, 26.63
22-12-2023, 12, 30, 34.50, 29.60, 26.13
22-12-2023, 12, 31, 34.20, 30.00, 26.25
22-12-2023, 12, 32, 34.10, 30.30, 26.50
22-12-2023, 12, 33, 33.90, 30.60, 26.44
22-12-2023, 12, 34, 33.90, 30.10, 26.63
22-12-2023, 12, 35, 33.60, 30.30, 26.38
22-12-2023, 12, 37, 33.30, 30.70, 26.50
22-12-2023, 12, 38, 33.20, 30.80, 26.25
22-12-2023, 12, 39, 32.80, 30.50, 26.63
22-12-2023, 12, 40, 33.00, 30.40, 26.50
22-12-2023, 12, 41, 32.90, 30.30, 26.81
22-12-2023, 12, 42, 33.30, 30.20, 26.75
22-12-2023, 12, 43, 33.10, 30.10, 26.75
22-12-2023, 12, 44, 33.20, 30.20, 26.88
22-12-2023, 12, 45, 33.50, 30.00, 26.75
22-12-2023, 12, 46, 33.50, 30.00, 26.81
22-12-2023, 12, 48, 33.30, 30.50, 27.06
22-12-2023, 12, 49, 33.30, 30.20, 27.06
22-12-2023, 12, 50, 33.30, 30.20, 27.19
22-12-2023, 12, 51, 33.50, 30.00, 27.38
22-12-2023, 12, 52, 33.70, 30.10, 27.19
22-12-2023, 12, 53, 33.80, 30.30, 27.06
22-12-2023, 12, 54, 33.90, 29.80, 26.88
22-12-2023, 12, 55, 33.90, 29.90, 27.00
22-12-2023, 12, 56, 33.50, 29.80, 27.06
22-12-2023, 12, 57, 33.60, 30.00, 26.69
22-12-2023, 12, 58, 33.00, 30.00, 26.13
