Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
21-12-2023, 16, 0, 19.60, 52.60, 20.00
21-12-2023, 16, 1, 19.40, 53.20, 19.94
21-12-2023, 16, 2, 19.40, 53.20, 20.00
21-12-2023, 16, 3, 19.40, 53.10, 20.00
21-12-2023, 16, 4, 19.50, 53.30, 20.00
21-12-2023, 16, 6, 19.50, 53.50, 20.00
21-12-2023, 16, 7, 19.40, 53.60, 20.06
21-12-2023, 16, 8, 19.30, 53.70, 20.06
21-12-2023, 16, 9, 19.50, 53.80, 20.06
21-12-2023, 16, 10, 19.50, 53.80, 20.00
21-12-2023, 16, 11, 19.60, 53.60, 20.00
21-12-2023, 16, 12, 19.60, 54.00, 19.94
21-12-2023, 16, 13, 19.50, 54.20, 19.88
21-12-2023, 16, 14, 19.50, 54.40, 19.88
21-12-2023, 16, 15, 19.40, 54.40, 19.88
21-12-2023, 16, 17, 19.40, 54.40, 19.81
21-12-2023, 16, 18, 19.40, 54.20, 19.81
21-12-2023, 16, 19, 19.30, 54.40, 19.75
21-12-2023, 16, 20, 19.30, 54.40, 19.75
21-12-2023, 16, 21, 19.30, 54.60, 19.69
21-12-2023, 16, 22, 19.20, 54.90, 19.69
21-12-2023, 16, 23, 19.10, 55.00, 19.63
21-12-2023, 16, 24, 19.10, 55.20, 19.63
21-12-2023, 16, 25, 19.10, 55.40, 19.63
21-12-2023, 16, 26, 19.10, 55.40, 19.56
21-12-2023, 16, 27, 19.00, 55.80, 19.56
21-12-2023, 16, 29, 18.90, 55.90, 19.50
21-12-2023, 16, 30, 18.80, 56.30, 19.44
21-12-2023, 16, 31, 18.90, 56.50, 19.44
21-12-2023, 16, 32, 18.70, 56.50, 19.44
21-12-2023, 16, 33, 18.70, 56.60, 19.38
21-12-2023, 16, 34, 18.70, 57.00, 19.31
21-12-2023, 16, 35, 18.60, 57.20, 19.31
21-12-2023, 16, 36, 18.50, 57.50, 19.25
21-12-2023, 16, 37, 18.50, 57.70, 19.19
21-12-2023, 16, 38, 18.50, 57.80, 19.19
21-12-2023, 16, 40, 18.40, 57.80, 19.13
21-12-2023, 16, 41, 18.40, 58.50, 19.13
21-12-2023, 16, 42, 18.40, 58.30, 19.06
21-12-2023, 16, 43, 18.40, 58.30, 19.00
21-12-2023, 16, 44, 18.30, 58.70, 18.94
21-12-2023, 16, 45, 18.20, 58.70, 18.94
21-12-2023, 16, 46, 18.10, 59.50, 18.88
21-12-2023, 16, 47, 18.00, 59.60, 18.81
21-12-2023, 16, 48, 17.80, 59.80, 18.69
21-12-2023, 16, 49, 17.70, 60.50, 18.63
21-12-2023, 16, 51, 17.60, 60.10, 18.50
21-12-2023, 16, 52, 17.40, 61.40, 18.50
21-12-2023, 16, 53, 17.40, 61.60, 18.44
21-12-2023, 16, 54, 17.30, 61.50, 18.38
21-12-2023, 16, 55, 17.20, 62.10, 18.38
21-12-2023, 16, 56, 17.30, 62.90, 18.31
21-12-2023, 16, 57, 17.20, 62.60, 18.25
21-12-2023, 16, 58, 17.00, 62.90, 18.25
21-12-2023, 16, 59, 17.00, 62.80, 18.25
