Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
22-12-2023, 11, 0, 27.30, 43.40, 24.44
22-12-2023, 11, 1, 27.10, 43.20, 23.75
22-12-2023, 11, 2, 26.90, 43.70, 24.63
22-12-2023, 11, 4, 27.10, 43.40, 24.94
22-12-2023, 11, 5, 27.10, 42.90, 24.25
22-12-2023, 11, 6, 26.80, 43.00, 25.06
22-12-2023, 11, 7, 27.50, 43.00, 24.94
22-12-2023, 11, 8, 27.80, 42.50, 25.50
22-12-2023, 11, 9, 28.20, 42.50, 25.44
22-12-2023, 11, 10, 28.30, 41.70, 25.00
22-12-2023, 11, 11, 28.00, 41.50, 25.44
22-12-2023, 11, 12, 28.00, 41.40, 25.81
22-12-2023, 11, 13, 27.60, 42.10, 26.13
22-12-2023, 11, 14, 28.00, 41.80, 25.81
22-12-2023, 11, 16, 28.10, 41.20, 26.31
22-12-2023, 11, 17, 27.90, 41.40, 25.63
22-12-2023, 11, 18, 27.70, 41.20, 25.69
22-12-2023, 11, 19, 27.70, 41.00, 25.00
22-12-2023, 11, 20, 27.20, 41.50, 24.88
22-12-2023, 11, 21, 27.10, 42.50, 24.38
22-12-2023, 11, 22, 26.80, 41.50, 24.25
22-12-2023, 11, 23, 26.50, 41.90, 24.19
22-12-2023, 11, 24, 26.50, 42.70, 24.44
22-12-2023, 11, 25, 27.00, 42.10, 25.50
22-12-2023, 11, 26, 27.40, 41.40, 25.06
22-12-2023, 11, 28, 27.10, 41.30, 25.69
22-12-2023, 11, 29, 27.20, 41.90, 25.81
22-12-2023, 11, 30, 27.20, 41.80, 26.06
22-12-2023, 11, 31, 27.00, 42.20, 26.13
22-12-2023, 11, 32, 26.60, 42.80, 26.50
22-12-2023, 11, 33, 26.50, 43.20, 27.06
22-12-2023, 11, 34, 26.80, 43.20, 26.63
22-12-2023, 11, 35, 26.90, 43.00, 25.63
22-12-2023, 11, 36, 26.70, 42.60, 26.06
22-12-2023, 11, 37, 26.80, 42.70, 26.38
22-12-2023, 11, 39, 27.10, 41.70, 26.13
22-12-2023, 11, 40, 27.40, 41.40, 26.00
22-12-2023, 11, 41, 27.50, 41.00, 26.25
22-12-2023, 11, 42, 27.70, 40.70, 26.50
22-12-2023, 11, 43, 27.70, 40.80, 26.25
22-12-2023, 11, 44, 27.40, 41.20, 26.19
22-12-2023, 11, 45, 27.70, 40.20, 26.50
22-12-2023, 11, 46, 27.90, 40.40, 26.81
22-12-2023, 11, 47, 28.10, 40.50, 26.69
22-12-2023, 11, 48, 28.20, 40.00, 27.38
22-12-2023, 11, 49, 28.80, 38.60, 26.88
22-12-2023, 11, 51, 28.80, 38.00, 26.25
22-12-2023, 11, 52, 28.10, 37.60, 26.00
22-12-2023, 11, 53, 27.80, 37.10, 26.06
22-12-2023, 11, 54, 28.00, 36.40, 26.44
22-12-2023, 11, 55, 27.60, 36.90, 26.50
22-12-2023, 11, 56, 27.70, 36.80, 26.94
22-12-2023, 11, 57, 27.70, 37.70, 27.25
22-12-2023, 11, 58, 28.00, 37.60, 27.13
22-12-2023, 11, 59, 28.30, 37.60, 27.56
