Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
21-12-2023, 17, 0, 17.00, 64.40, 16.63
21-12-2023, 17, 2, 16.90, 64.50, 16.56
21-12-2023, 17, 3, 16.80, 64.90, 16.63
21-12-2023, 17, 4, 16.80, 65.00, 16.56
21-12-2023, 17, 5, 17.00, 64.90, 16.44
21-12-2023, 17, 6, 16.80, 64.70, 16.38
21-12-2023, 17, 7, 16.70, 65.80, 16.25
21-12-2023, 17, 8, 16.60, 66.20, 16.25
21-12-2023, 17, 9, 16.50, 66.60, 16.31
21-12-2023, 17, 10, 16.50, 67.00, 16.25
21-12-2023, 17, 11, 16.50, 67.10, 16.25
21-12-2023, 17, 13, 16.60, 67.10, 16.13
21-12-2023, 17, 14, 16.50, 67.50, 16.19
21-12-2023, 17, 15, 16.40, 67.50, 16.19
21-12-2023, 17, 16, 16.40, 67.40, 16.13
21-12-2023, 17, 17, 16.40, 67.80, 16.06
21-12-2023, 17, 18, 16.50, 67.60, 16.13
21-12-2023, 17, 19, 16.40, 67.70, 16.06
21-12-2023, 17, 20, 16.40, 68.30, 16.06
21-12-2023, 17, 21, 16.50, 68.20, 16.13
21-12-2023, 17, 22, 16.50, 67.70, 16.13
21-12-2023, 17, 24, 16.50, 67.60, 16.13
21-12-2023, 17, 25, 16.50, 67.50, 16.06
21-12-2023, 17, 26, 16.50, 67.70, 16.06
21-12-2023, 17, 27, 16.50, 67.90, 16.00
21-12-2023, 17, 28, 16.50, 67.40, 16.00
21-12-2023, 17, 29, 16.50, 66.90, 15.94
21-12-2023, 17, 30, 16.40, 66.50, 15.94
21-12-2023, 17, 31, 16.40, 66.70, 15.88
21-12-2023, 17, 32, 16.30, 67.20, 15.94
21-12-2023, 17, 33, 16.40, 67.20, 15.88
21-12-2023, 17, 34, 16.30, 66.70, 15.88
21-12-2023, 17, 36, 16.30, 66.90, 15.88
21-12-2023, 17, 37, 16.30, 66.70, 15.81
21-12-2023, 17, 38, 16.30, 66.10, 15.81
21-12-2023, 17, 39, 16.30, 66.30, 15.69
21-12-2023, 17, 40, 16.20, 66.20, 15.63
21-12-2023, 17, 41, 16.20, 66.20, 15.63
21-12-2023, 17, 42, 16.20, 66.70, 15.63
21-12-2023, 17, 43, 16.10, 66.80, 15.56
21-12-2023, 17, 44, 16.00, 67.20, 15.50
21-12-2023, 17, 45, 16.10, 67.40, 15.56
21-12-2023, 17, 46, 16.00, 67.60, 15.56
21-12-2023, 17, 48, 15.80, 67.90, 15.50
21-12-2023, 17, 49, 15.80, 67.10, 15.56
21-12-2023, 17, 50, 16.00, 66.70, 15.50
21-12-2023, 17, 51, 15.80, 67.40, 15.44
21-12-2023, 17, 52, 16.00, 68.10, 15.44
21-12-2023, 17, 53, 15.80, 67.80, 15.38
21-12-2023, 17, 54, 15.70, 67.70, 15.31
21-12-2023, 17, 55, 15.70, 68.00, 15.44
21-12-2023, 17, 56, 15.80, 67.10, 15.44
21-12-2023, 17, 57, 15.80, 67.70, 15.38
21-12-2023, 17, 59, 16.00, 67.10, 15.31
