Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
1-1-2000, 5, 0, 13.90, 61.50, 10.88
1-1-2000, 5, 1, 13.80, 60.60, 10.75
1-1-2000, 5, 2, 13.80, 59.90, 10.81
1-1-2000, 5, 3, 13.80, 60.80, 10.88
1-1-2000, 5, 4, 13.80, 61.60, 10.75
1-1-2000, 5, 5, 13.80, 60.50, 10.75
1-1-2000, 5, 6, 13.80, 61.30, 10.75
1-1-2000, 5, 7, 13.70, 60.90, 10.75
1-1-2000, 5, 8, 13.70, 61.80, 10.81
1-1-2000, 5, 10, 13.70, 61.50, 10.81
1-1-2000, 5, 11, 13.70, 62.10, 10.81
1-1-2000, 5, 12, 13.60, 62.30, 10.81
1-1-2000, 5, 13, 13.70, 62.80, 10.75
