Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
22-12-2023, 11, 0, 31.60, 33.90, 21.13
22-12-2023, 11, 2, 30.60, 34.70, 21.06
22-12-2023, 11, 3, 31.30, 34.70, 21.00
22-12-2023, 11, 4, 30.90, 34.40, 20.81
22-12-2023, 11, 5, 30.30, 35.00, 20.69
22-12-2023, 11, 6, 30.50, 35.90, 20.88
22-12-2023, 11, 7, 30.90, 35.40, 20.75
22-12-2023, 11, 8, 31.70, 35.30, 21.00
22-12-2023, 11, 9, 32.20, 34.30, 21.00
22-12-2023, 11, 10, 32.10, 33.50, 21.00
22-12-2023, 11, 12, 32.20, 33.20, 20.94
22-12-2023, 11, 13, 31.50, 33.50, 20.81
22-12-2023, 11, 14, 31.50, 34.40, 21.00
22-12-2023, 11, 15, 32.20, 33.60, 21.00
22-12-2023, 11, 16, 31.70, 33.20, 20.94
22-12-2023, 11, 17, 31.70, 33.70, 20.88
22-12-2023, 11, 18, 31.20, 33.60, 20.75
22-12-2023, 11, 19, 30.60, 33.80, 20.44
22-12-2023, 11, 20, 29.60, 35.40, 20.63
22-12-2023, 11, 21, 30.40, 35.70, 20.56
22-12-2023, 11, 22, 30.10, 35.00, 20.63
22-12-2023, 11, 24, 29.70, 35.50, 20.56
22-12-2023, 11, 25, 29.60, 35.60, 20.69
22-12-2023, 11, 26, 30.30, 35.30, 20.75
22-12-2023, 11, 27, 30.30, 34.50, 20.50
22-12-2023, 11, 28, 30.40, 34.80, 20.75
22-12-2023, 11, 29, 30.90, 34.60, 20.88
22-12-2023, 11, 30, 30.40, 34.40, 20.69
22-12-2023, 11, 31, 29.10, 35.50, 20.69
22-12-2023, 11, 32, 28.10, 37.50, 20.81
22-12-2023, 11, 33, 27.70, 39.20, 20.81
22-12-2023, 11, 34, 27.30, 40.00, 20.75
22-12-2023, 11, 36, 27.70, 40.70, 20.69
22-12-2023, 11, 37, 28.10, 39.30, 20.88
22-12-2023, 11, 38, 28.60, 38.70, 20.94
22-12-2023, 11, 39, 29.20, 37.70, 20.81
22-12-2023, 11, 40, 29.50, 36.50, 20.81
22-12-2023, 11, 41, 30.00, 36.20, 20.81
22-12-2023, 11, 42, 30.10, 35.70, 20.81
22-12-2023, 11, 43, 29.60, 35.80, 20.75
22-12-2023, 11, 44, 30.10, 35.50, 20.88
22-12-2023, 11, 45, 30.40, 34.50, 20.88
22-12-2023, 11, 46, 30.50, 34.60, 20.94
22-12-2023, 11, 48, 31.30, 34.80, 21.13
22-12-2023, 11, 49, 31.90, 33.90, 21.13
22-12-2023, 11, 50, 31.60, 32.80, 21.06
22-12-2023, 11, 51, 31.10, 32.10, 21.00
22-12-2023, 11, 52, 30.50, 31.70, 20.94
22-12-2023, 11, 53, 30.60, 31.50, 20.88
22-12-2023, 11, 54, 30.70, 31.30, 20.94
22-12-2023, 11, 55, 30.40, 30.90, 21.00
22-12-2023, 11, 56, 30.90, 31.50, 22.69
22-12-2023, 11, 57, 31.40, 31.60, 24.81
22-12-2023, 11, 59, 31.40, 31.20, 26.38
