Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
1-1-2000, 20, 0, 13.40, 77.60, 10.94
1-1-2000, 20, 2, 12.90, 80.30, 10.88
1-1-2000, 20, 3, 12.70, 82.90, 10.69
1-1-2000, 20, 4, 12.70, 84.20, 10.81
1-1-2000, 20, 5, 12.60, 84.80, 10.75
1-1-2000, 20, 6, 12.60, 85.10, 10.63
1-1-2000, 20, 7, 12.60, 85.30, 10.56
1-1-2000, 20, 8, 12.50, 85.70, 10.50
1-1-2000, 20, 9, 12.50, 85.90, 10.50
1-1-2000, 20, 10, 12.50, 86.20, 10.38
1-1-2000, 20, 11, 12.50, 86.30, 10.50
1-1-2000, 20, 13, 12.50, 86.40, 10.50
1-1-2000, 20, 14, 12.50, 86.50, 10.56
1-1-2000, 20, 15, 12.50, 86.50, 10.56
1-1-2000, 20, 16, 12.50, 86.70, 10.50
1-1-2000, 20, 17, 12.40, 86.60, 10.63
1-1-2000, 20, 18, 12.40, 86.80, 10.56
1-1-2000, 20, 19, 12.40, 86.70, 10.50
1-1-2000, 20, 20, 12.30, 87.20, 10.56
1-1-2000, 20, 21, 12.30, 87.50, 10.56
1-1-2000, 20, 22, 12.30, 87.70, 10.69
1-1-2000, 20, 23, 12.30, 87.70, 10.69
1-1-2000, 20, 25, 12.20, 87.80, 10.75
1-1-2000, 20, 26, 12.20, 87.90, 10.81
1-1-2000, 20, 27, 12.30, 88.00, 10.88
1-1-2000, 20, 28, 12.30, 88.20, 11.00
1-1-2000, 20, 29, 12.20, 88.30, 11.06
1-1-2000, 20, 30, 12.20, 88.40, 11.06
1-1-2000, 20, 31, 12.20, 88.40, 11.00
1-1-2000, 20, 32, 12.20, 88.60, 11.00
1-1-2000, 20, 33, 12.20, 88.60, 10.94
1-1-2000, 20, 34, 12.20, 88.70, 10.94
1-1-2000, 20, 35, 12.30, 88.50, 11.06
1-1-2000, 20, 37, 12.30, 88.50, 10.88
1-1-2000, 20, 38, 12.20, 88.60, 10.75
1-1-2000, 20, 39, 12.20, 88.50, 10.81
1-1-2000, 20, 40, 12.20, 88.70, 11.00
1-1-2000, 20, 41, 12.10, 88.90, 10.88
1-1-2000, 20, 42, 12.20, 89.00, 10.88
1-1-2000, 20, 43, 12.10, 89.10, 11.00
1-1-2000, 20, 44, 12.10, 89.10, 11.06
1-1-2000, 20, 45, 12.10, 89.10, 11.19
1-1-2000, 20, 46, 12.10, 89.20, 11.25
1-1-2000, 20, 48, 12.10, 89.30, 11.19
1-1-2000, 20, 49, 12.20, 89.20, 11.06
1-1-2000, 20, 50, 12.20, 89.20, 11.00
1-1-2000, 20, 51, 12.10, 89.20, 11.06
1-1-2000, 20, 52, 12.10, 89.30, 11.25
1-1-2000, 20, 53, 12.10, 89.50, 11.25
1-1-2000, 20, 54, 12.10, 89.50, 11.25
1-1-2000, 20, 55, 12.10, 89.60, 11.31
1-1-2000, 20, 56, 12.20, 89.70, 11.38
1-1-2000, 20, 57, 12.20, 89.60, 11.44
1-1-2000, 20, 58, 12.20, 89.70, 11.38
