Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
Date, Hour, Minute, Air_Temp, Humidity, Surface_Temp
20-12-2023, 10, 5, 20.50, 61.10, 18.38
20-12-2023, 10, 6, 20.50, 60.40, 18.38
